Date	Time	p1	p2
26Nov15	12:45	-11.6	-57.5
26Nov15	12:46	-18.4	-56.0
26Nov15	12:47	-20.0	-47.7
26Nov15	12:48	-11.9	-56.4
26Nov15	12:49	-20.5	-50.1
26Nov15	12:50	-7.7	-55.1
26Nov15	12:51	-2.1	-51.0
26Nov15	12:52	-10.2	-52.8
26Nov15	12:53	-27.4	-53.5
26Nov15	12:54	-21.8	-58.9
26Nov15	12:55	-27.0	-51.3
26Nov15	12:56	-9.7	-43.5
26Nov15	12:57	-11.6	-45.8
26Nov15	12:58	5.7	-31.1
26Nov15	12:59	-16.1	-42.7
26Nov15	13:00	-12.0	-42.1
26Nov15	13:01	-2.6	-43.2
26Nov15	13:02	-0.7	-40.0
26Nov15	13:03	-20.2	-50.5
26Nov15	13:04	-10.3	-48.5
26Nov15	13:05	-16.1	-51.2
26Nov15	13:06	-31.9	-58.6
26Nov15	13:07	-23.1	-61.9
26Nov15	13:08	-28.3	-63.1
26Nov15	13:09	-37.9	-64.5
26Nov15	13:10	-34.5	-61.1
26Nov15	13:11	-17.7	-66.2
26Nov15	13:12	-20.5	-60.2
26Nov15	13:13	-43.6	-62.0
26Nov15	13:14	-32.6	-55.6
26Nov15	13:15	-36.1	-61.8
26Nov15	13:16	-44.2	-62.4
26Nov15	13:17	-27.4	-58.9
26Nov15	13:18	-24.6	-59.6
26Nov15	13:19	-22.1	-63.1
26Nov15	13:20	-31.3	-64.7
26Nov15	13:21	-30.9	-67.7
26Nov15	13:22	-24.8	-57.8
26Nov15	13:23	-39.3	-65.7
26Nov15	13:24	-50.1	-72.9
26Nov15	13:25	-44.1	-71.5
26Nov15	13:26	-47.5	-71.6
26Nov15	13:27	-53.8	-77.0
26Nov15	13:28	-40.8	-68.4
26Nov15	13:29	-30.7	-70.3
26Nov15	13:30	-26.9	-70.3
26Nov15	13:31	-33.2	-67.2
26Nov15	13:32	-23.5	-56.1
26Nov15	13:33	-37.4	-66.1
26Nov15	13:34	-30.9	-67.5
26Nov15	13:35	-35.1	-74.3
26Nov15	13:36	-36.0	-73.6
26Nov15	13:37	-31.4	-71.9
26Nov15	13:38	-21.3	-61.7
26Nov15	13:39	-21.1	-53.8
26Nov15	13:40	-21.6	-51.4
26Nov15	13:41	-39.0	-62.0
26Nov15	13:42	-24.1	-56.7
26Nov15	13:43	-39.3	-65.4
26Nov15	13:44	-40.5	-64.3
26Nov15	13:45	-36.3	-71.7
26Nov15	13:46	-23.5	-60.8
26Nov15	13:47	-6.2	-44.5
26Nov15	13:48	-6.9	-36.9
26Nov15	13:49	2.5	-30.9
26Nov15	13:50	-4.0	-38.1
26Nov15	13:51	-14.0	-40.6
26Nov15	13:52	-11.0	-48.6
26Nov15	13:53	-10.0	-42.5
26Nov15	13:54	-7.9	-47.5
26Nov15	13:55	-15.0	-49.9
26Nov15	13:56	-8.1	-42.8
26Nov15	13:57	-10.8	-40.8
26Nov15	13:58	-11.6	-38.7
26Nov15	13:59	-6.8	-36.1
26Nov15	14:00	-5.4	-40.9
26Nov15	14:01	-11.6	-50.2
26Nov15	14:02	0.3	-50.6
26Nov15	14:03	-8.1	-48.0
26Nov15	14:04	-15.8	-45.6
26Nov15	14:05	-27.4	-51.3
26Nov15	14:06	-30.6	-55.9
26Nov15	14:07	-18.7	-53.8
26Nov15	14:08	4.1	-37.4
26Nov15	14:09	15.6	-35.5
26Nov15	14:10	11.2	-31.3
26Nov15	14:11	3.3	-33.5
26Nov15	14:12	10.9	-31.6
26Nov15	14:13	5.7	-35.8
26Nov15	14:14	-1.3	-40.9
26Nov15	14:15	5.9	-35.5
26Nov15	14:16	-18.6	-48.5
26Nov15	14:17	-24.5	-53.2
26Nov15	14:18	-14.5	-55.0
26Nov15	14:19	-11.3	-49.1
26Nov15	14:20	-18.1	-54.8
26Nov15	14:21	14.9	-41.5
26Nov15	14:22	-0.3	-37.2
26Nov15	14:23	22.5	-29.9
