datetime,T1,T2,T3,T4,P1,P2
12/15/2015 16:20,23.8,23.9,23.7,23.8,8.3,9.6
12/15/2015 16:21,23.2,22.8,23.2,23,18.8,16
12/15/2015 16:22,22.4,22.6,22.8,22.4,21.1,16.3
12/15/2015 16:23,22.2,22,22.4,22.4,23.1,15.9
12/15/2015 16:24,22.2,22.3,22.2,21.8,24.7,14.8
12/15/2015 16:25,22.2,22,22,21.9,26,12.9
12/15/2015 16:26,22.1,22.1,22,21.7,26.8,10.6
12/15/2015 16:27,22.2,21.9,21.8,21.6,27.3,7.9
12/15/2015 16:28,22,22,22.2,21.9,27.5,5.1
12/15/2015 16:29,21.9,21.9,22.1,22.1,27.3,2.2
12/15/2015 16:30,22.2,22.1,22.1,21.7,26.9,-1.3
12/15/2015 16:31,21.9,21.6,21.8,21.8,26.3,-4.9
12/15/2015 16:32,21.8,21.6,21.9,21.8,25.4,-8.1
12/15/2015 16:33,22,22,21.8,21.7,24.4,-11.5
12/15/2015 16:34,22.1,21.9,22.2,22,23.1,-15.2
12/15/2015 16:35,21.7,21.5,21.6,21.7,21.8,-19
12/15/2015 16:36,22,21.8,21.8,21.8,20.5,-22.5
12/15/2015 16:37,21.9,21.7,21.8,21.7,19,-25.9
12/15/2015 16:38,22.2,22,22.2,22.1,17.3,-29.7
12/15/2015 16:39,21.7,21.6,21.8,21.6,15.4,-33.2
12/15/2015 16:40,22,21.7,21.8,21.8,13.6,-36.4
12/15/2015 16:41,22,21.9,22,21.9,11.7,-39.5
12/15/2015 16:42,21.7,21.6,21.7,21.6,9.5,-42.9
12/15/2015 16:43,21.7,21.6,21.7,21.6,7.2,-46
12/15/2015 16:44,22.1,22,22.2,21.9,5.1,-48.8
12/15/2015 16:45,21.9,21.7,21.9,21.7,2.9,-51.5
12/15/2015 16:46,21.9,21.8,22,21.9,0.6,-54.5
12/15/2015 16:47,22.1,21.9,21.9,21.6,-1.7,-57.4
